"Type","Team","Group","Position","Name","DOB","Caps","Goals","Country and Club"
"Age","Croatia","D","DF","Duje Ćaleta-Car","1996-09-17","0","0","Austria Red Bull Salzburg"
"Age","Croatia","D","DF","Ivan Strinić","1987-07-17","42","0","Italy Sampdoria"
"Age","Croatia","D","DF","Josip Pivarić","1989-01-30","19","0","Ukraine Dynamo Kyiv"
"Age","Croatia","D","DF","Šime Vrsaljko","1992-01-10","34","0","Spain Atlético Madrid"
"Age","Croatia","D","DF","Tin Jedvaj","1995-11-28","10","0","Germany Bayer Leverkusen"
"Age","Croatia","D","DF","Vedran Ćorluka","1986-02-05","97","4","Russia Lokomotiv Moscow"
"Age","Croatia","D","FW","Andrej Kramarić","1991-06-19","29","8","Germany 1899 Hoffenheim"
"Age","Croatia","D","FW","Ante Rebić","1993-09-21","14","1","Germany Eintracht Frankfurt"
"Age","Croatia","D","FW","Ivan Perišić","1989-02-02","64","17","Italy Internazionale"
"Age","Croatia","D","FW","Mario Mandžukić","1986-05-21","82","30","Italy Juventus"
"Age","Croatia","D","FW","Marko Pjaca","1995-05-06","15","1","Germany Schalke 04"
"Age","Croatia","D","FW","Nikola Kalinić","1988-01-05","41","15","Italy Milan"
"Age","Croatia","D","GK","Danijel Subašić","1984-10-27","36","0","France Monaco"
"Age","Croatia","D","GK","Dominik Livaković","1995-01-09","1","0","Croatia Dinamo Zagreb"
"Age","Croatia","D","GK","Lovre Kalinić","1990-04-03","10","0","Belgium Gent"
"Age","Croatia","D","MF","Filip Bradarić","1992-01-11","3","0","Croatia Rijeka"
"Age","Croatia","D","MF","Ivan Rakitić","1988-03-10","90","14","Spain Barcelona"
"Age","Croatia","D","MF","Luka Modrić (captain)","1985-09-09","104","12","Spain Real Madrid"
"Age","Croatia","D","MF","Marcelo Brozović","1992-11-16","33","6","Italy Internazionale"
"Age","Croatia","D","MF","Mateo Kovačić","1994-05-06","39","1","Spain Real Madrid"
"Age","Croatia","D","MF","Milan Badelj","1989-02-25","36","1","Italy Fiorentina"
"Age","Iceland","D","DF","Ari Freyr Skúlason","1987-05-14","54","0","Belgium Lokeren"
"Age","Iceland","D","DF","Birkir Már Sævarsson","1984-11-11","78","1","Iceland Valur"
"Age","Iceland","D","DF","Hólmar Örn Eyjólfsson","1990-08-06","9","1","Bulgaria Levski Sofia"
"Age","Iceland","D","DF","Hörður Björgvin Magnússon","1993-02-11","15","2","England Bristol City"
"Age","Iceland","D","DF","Kári Árnason","1982-10-13","65","4","Scotland Aberdeen"
"Age","Iceland","D","DF","Ragnar Sigurðsson","1986-06-19","75","3","Russia Rostov"
"Age","Iceland","D","DF","Samúel Friðjónsson","1996-02-22","3","0","Norway Vålerenga"
"Age","Iceland","D","DF","Sverrir Ingi Ingason","1993-08-05","18","3","Russia Rostov"
"Age","Iceland","D","FW","Albert Guðmundsson","1997-06-15","4","3","Netherlands PSV Eindhoven"
"Age","Iceland","D","FW","Alfreð Finnbogason","1989-02-01","45","11","Germany FC Augsburg"
"Age","Iceland","D","FW","Björn Bergmann Sigurðarson","1991-02-26","10","1","Russia Rostov"
"Age","Iceland","D","FW","Jón Daði Böðvarsson","1992-05-25","36","2","England Reading"
"Age","Iceland","D","GK","Frederik Schram","1995-01-19","3","0","Denmark Roskilde"
"Age","Iceland","D","GK","Hannes Þór Halldórsson","1984-04-27","48","0","Denmark Randers"
"Age","Iceland","D","GK","Rúnar Alex Rúnarsson","1995-02-18","3","0","Denmark Nordsjælland"
"Age","Iceland","D","MF","Arnór Ingvi Traustason","1993-04-30","18","5","Sweden Malmö"
"Age","Iceland","D","MF","Aron Gunnarsson (captain)","1989-04-22","77","2","Wales Cardiff City"
"Age","Iceland","D","MF","Birkir Bjarnason","1988-05-27","65","9","England Aston Villa"
"Age","Iceland","D","MF","Emil Hallfreðsson","1984-06-29","62","1","Italy Udinese"
"Age","Iceland","D","MF","Gylfi Sigurðsson","1989-09-08","55","18","England Everton"
"Age","Iceland","D","MF","Jóhann Berg Guðmundsson","1990-10-27","65","7","England Burnley"
"Age","Iceland","D","MF","Ólafur Ingi Skúlason","1983-04-01","35","1","Turkey Kardemir Karabükspor"
"Age","Iceland","D","MF","Rúrik Gíslason","1988-02-25","45","3","Germany SV Sandhausen"
"Age","Nigeria","D","DF","Brian Idowu","1992-05-18","3","1","Russia Amkar Perm"
"Age","Nigeria","D","DF","Chidozie Awaziem","1997-01-01","4","0","France Nantes"
"Age","Nigeria","D","DF","Elderson Echiéjilé","1988-01-20","60","3","Belgium Cercle Brugge"
"Age","Nigeria","D","DF","Kenneth Omeruo","1993-10-17","37","0","Turkey Kasımpaşa"
"Age","Nigeria","D","DF","Leon Balogun","1988-06-28","16","0","Germany Mainz 05"
"Age","Nigeria","D","DF","Shehu Abdullahi","1993-03-12","22","0","Turkey Bursaspor"
"Age","Nigeria","D","DF","Tyronne Ebuehi","1995-12-16","4","0","Netherlands ADO Den Haag"
"Age","Nigeria","D","DF","William Troost-Ekong","1993-09-01","19","0","Turkey Bursaspor"
"Age","Nigeria","D","FW","Ahmed Musa","1992-10-14","69","13","Russia CSKA Moscow"
"Age","Nigeria","D","FW","Kelechi Iheanacho","1996-10-03","15","8","England Leicester City"
"Age","Nigeria","D","FW","Odion Ighalo","1989-06-16","17","4","China Changchun Yatai"
"Age","Nigeria","D","FW","Simeon Nwankwo","1992-05-07","0","0","Italy Crotone"
"Age","Nigeria","D","GK","Daniel Akpeyi","1986-08-03","7","0","South Africa Chippa United"
"Age","Nigeria","D","GK","Francis Uzoho","1998-10-28","3","0","Spain Deportivo Fabril"
"Age","Nigeria","D","GK","Ikechukwu Ezenwa","1988-10-16","24","0","Nigeria Enyimba"
"Age","Nigeria","D","MF","Alex Iwobi","1996-05-03","16","4","England Arsenal"
"Age","Nigeria","D","MF","Joel Obi","1991-05-22","15","0","Italy Torino"
"Age","Nigeria","D","MF","John Obi Mikel (captain)","1987-04-22","83","6","China Tianjin TEDA"
"Age","Nigeria","D","MF","John Ogu","1988-04-20","18","2","Israel Hapoel Be'er Sheva"
"Age","Nigeria","D","MF","Ogenyi Onazi","1992-12-25","50","1","Turkey Trabzonspor"
"Age","Nigeria","D","MF","Oghenekaro Etebo","1995-11-09","12","1","Spain Las Palmas"
"Age","Nigeria","D","MF","Victor Moses","1990-12-12","32","11","England Chelsea"
"Age","Nigeria","D","MF","Wilfred Ndidi","1996-12-16","16","0","England Leicester City"
"Age","Brazil","E","DF","Danilo","1991-07-15","16","0","England Manchester City"
"Age","Brazil","E","DF","Fagner","1989-06-11","4","0","Brazil Corinthians"
"Age","Brazil","E","DF","Filipe Luís","1985-08-09","31","2","Spain Atlético Madrid"
"Age","Brazil","E","DF","Marcelo","1988-05-12","52","6","Spain Real Madrid"
"Age","Brazil","E","DF","Marquinhos","1994-05-14","24","0","France Paris Saint-Germain"
"Age","Brazil","E","DF","Miranda","1984-09-07","45","2","Italy Internazionale"
"Age","Brazil","E","DF","Pedro Geromel","1985-09-21","2","0","Brazil Grêmio"
"Age","Brazil","E","DF","Thiago Silva","1984-09-22","69","5","France Paris Saint-Germain"
"Age","Brazil","E","FW","Douglas Costa","1990-09-14","24","3","Italy Juventus"
"Age","Brazil","E","FW","Gabriel Jesus","1997-04-03","15","9","England Manchester City"
"Age","Brazil","E","FW","Neymar","1992-02-05","83","53","France Paris Saint-Germain"
"Age","Brazil","E","FW","Roberto Firmino","1991-10-02","19","5","England Liverpool"
"Age","Brazil","E","FW","Taison","1988-01-13","6","1","Ukraine Shakhtar Donetsk"
"Age","Brazil","E","GK","Alisson","1992-10-02","24","0","Italy Roma"
"Age","Brazil","E","GK","Cássio","1987-06-06","1","0","Brazil Corinthians"
"Age","Brazil","E","GK","Ederson","1993-08-17","1","0","England Manchester City"
"Age","Brazil","E","MF","Casemiro","1992-02-23","22","0","Spain Real Madrid"
"Age","Brazil","E","MF","Fernandinho","1985-05-04","42","2","England Manchester City"
"Age","Brazil","E","MF","Fred","1993-03-05","7","0","Ukraine Shakhtar Donetsk"
"Age","Brazil","E","MF","Paulinho","1988-07-25","48","12","Spain Barcelona"
"Age","Brazil","E","MF","Philippe Coutinho","1992-06-12","35","9","Spain Barcelona"
"Age","Brazil","E","MF","Renato Augusto","1988-02-08","28","5","China Beijing Sinobo Guoan"
"Age","Brazil","E","MF","Willian","1988-08-09","55","8","England Chelsea"
"Age","Costa Rica","E","DF","Bryan Oviedo","1990-02-18","41","1","England Sunderland"
"Age","Costa Rica","E","DF","Cristian Gamboa","1989-10-24","65","3","Scotland Celtic"
"Age","Costa Rica","E","DF","Francisco Calvo","1992-07-08","35","3","United States Minnesota United"
"Age","Costa Rica","E","DF","Giancarlo González","1988-02-08","67","2","Italy Bologna"
"Age","Costa Rica","E","DF","Ian Smith","1998-03-06","1","0","Sweden Norrköping"
"Age","Costa Rica","E","DF","Johnny Acosta","1983-07-21","67","2","Colombia Águilas Doradas"
"Age","Costa Rica","E","DF","Kendall Waston","1988-01-01","24","3","Canada Vancouver Whitecaps FC"
"Age","Costa Rica","E","DF","Óscar Duarte","1989-06-03","37","2","Spain Espanyol"
"Age","Costa Rica","E","DF","Rónald Matarrita","1994-07-09","21","2","United States New York City FC"
"Age","Costa Rica","E","FW","Bryan Ruiz (captain)","1985-08-18","109","23","Portugal Sporting CP"
"Age","Costa Rica","E","FW","Joel Campbell","1992-06-26","76","14","Spain Real Betis"
"Age","Costa Rica","E","FW","Johan Venegas","1988-11-27","44","9","Costa Rica Saprissa"
"Age","Costa Rica","E","FW","Marco Ureña","1990-03-05","62","15","United States Los Angeles FC"
"Age","Costa Rica","E","GK","Keylor Navas","1986-12-15","78","0","Spain Real Madrid"
"Age","Costa Rica","E","GK","Leonel Moreira","1990-04-02","8","0","Costa Rica Herediano"
"Age","Costa Rica","E","GK","Patrick Pemberton","1982-05-24","39","0","Costa Rica Alajuelense"
"Age","Costa Rica","E","MF","Celso Borges","1988-05-27","110","21","Spain Deportivo La Coruña"
"Age","Costa Rica","E","MF","Christian Bolaños","1984-05-30","79","6","Costa Rica Saprissa"
"Age","Costa Rica","E","MF","Daniel Colindres","1985-05-28","10","0","Costa Rica Saprissa"
"Age","Costa Rica","E","MF","David Guzmán","1990-02-18","40","0","United States Portland Timbers"
"Age","Costa Rica","E","MF","Randall Azofeifa","1984-12-30","57","3","Costa Rica Herediano"
"Age","Costa Rica","E","MF","Rodney Wallace","1988-06-17","30","4","United States New York City FC"
"Age","Costa Rica","E","MF","Yeltsin Tejeda","1992-03-17","48","0","Switzerland Lausanne"
"Age","Serbia","E","DF","Aleksandar Kolarov (captain)","1985-11-10","74","10","Italy Roma"
"Age","Serbia","E","DF","Antonio Rukavina","1984-01-26","45","0","Spain Villarreal"
"Age","Serbia","E","DF","Branislav Ivanović","1984-02-22","102","12","Russia Zenit Saint Petersburg"
"Age","Serbia","E","DF","Duško Tošić","1985-01-19","22","1","Turkey Beşiktaş"
"Age","Serbia","E","DF","Milan Rodić","1991-04-02","0","0","Serbia Red Star Belgrade"
"Age","Serbia","E","DF","Miloš Veljković","1995-09-26","2","0","Germany Werder Bremen"
"Age","Serbia","E","DF","Nikola Milenković","1997-10-12","1","0","Italy Fiorentina"
"Age","Serbia","E","DF","Uroš Spajić","1993-02-13","5","0","Belgium Anderlecht"
"Age","Serbia","E","FW","Aleksandar Mitrović","1994-09-16","35","13","England Fulham"
"Age","Serbia","E","FW","Aleksandar Prijović","1990-04-21","8","1","Greece PAOK"
"Age","Serbia","E","FW","Luka Jović","1997-12-23","0","0","Germany Eintracht Frankfurt"
"Age","Serbia","E","GK","Marko Dmitrović","1992-01-24","2","0","Spain Eibar"
"Age","Serbia","E","GK","Predrag Rajković","1995-10-31","7","0","Israel Maccabi Tel Aviv"
"Age","Serbia","E","GK","Vladimir Stojković","1983-07-28","79","0","Serbia Partizan"
"Age","Serbia","E","MF","Adem Ljajić","1991-09-29","27","5","Italy Torino"
"Age","Serbia","E","MF","Andrija Živković","1996-07-11","9","0","Portugal Benfica"
"Age","Serbia","E","MF","Dušan Tadić","1988-11-20","51","13","England Southampton"
"Age","Serbia","E","MF","Filip Kostić","1992-11-01","21","2","Germany Hamburger SV"
"Age","Serbia","E","MF","Luka Milivojević","1991-04-07","26","1","England Crystal Palace"
"Age","Serbia","E","MF","Marko Grujić","1996-04-13","6","0","Wales Cardiff City"
"Age","Serbia","E","MF","Nemanja Matić","1988-08-01","38","2","England Manchester United"
"Age","Serbia","E","MF","Nemanja Radonjić","1996-02-15","1","0","Serbia Red Star Belgrade"
"Age","Serbia","E","MF","Sergej Milinković-Savić","1995-02-27","2","0","Italy Lazio"
"Age","Switzerland","E","DF","Fabian Schär","1991-12-20","37","7","Spain Deportivo La Coruña"
"Age","Switzerland","E","DF","François Moubandje","1990-06-21","16","0","France Toulouse"
"Age","Switzerland","E","DF","Johan Djourou","1987-01-18","73","2","Turkey Antalyaspor"
"Age","Switzerland","E","DF","Manuel Akanji","1995-07-19","5","0","Germany Borussia Dortmund"
"Age","Switzerland","E","DF","Michael Lang","1991-02-08","23","2","Switzerland Basel"
"Age","Switzerland","E","DF","Nico Elvedi","1996-09-30","5","0","Germany Borussia Mönchengladbach"
"Age","Switzerland","E","DF","Ricardo Rodríguez","1992-08-25","51","3","Italy Milan"
"Age","Switzerland","E","DF","Stephan Lichtsteiner (captain)","1984-01-16","98","8","Italy Juventus"
"Age","Switzerland","E","FW","Breel Embolo","1997-02-14","23","3","Germany Schalke 04"
"Age","Switzerland","E","FW","Haris Seferović","1992-02-22","49","11","Portugal Benfica"
"Age","Switzerland","E","FW","Josip Drmić","1992-08-08","27","9","Germany Borussia Mönchengladbach"
"Age","Switzerland","E","FW","Mario Gavranović","1989-11-24","13","5","Croatia Dinamo Zagreb"
"Age","Switzerland","E","GK","Roman Bürki","1990-11-14","8","0","Germany Borussia Dortmund"
"Age","Switzerland","E","GK","Yann Sommer","1988-12-17","34","0","Germany Borussia Mönchengladbach"
"Age","Switzerland","E","GK","Yvon Mvogo","1994-06-06","0","0","Germany RB Leipzig"
"Age","Switzerland","E","MF","Blerim Džemaili","1986-04-12","63","9","Italy Bologna"
"Age","Switzerland","E","MF","Denis Zakaria","1996-11-20","9","0","Germany Borussia Mönchengladbach"
"Age","Switzerland","E","MF","Gelson Fernandes","1986-09-02","66","2","Germany Eintracht Frankfurt"
"Age","Switzerland","E","MF","Granit Xhaka","1992-09-27","61","9","England Arsenal"
"Age","Switzerland","E","MF","Remo Freuler","1992-04-15","9","0","Italy Atalanta"
"Age","Switzerland","E","MF","Steven Zuber","1991-08-17","10","3","Germany 1899 Hoffenheim"
"Age","Switzerland","E","MF","Valon Behrami","1985-04-19","77","2","Italy Udinese"
"Age","Switzerland","E","MF","Xherdan Shaqiri","1991-10-10","68","20","England Stoke City"
"Age","Germany","F","DF","Antonio Rüdiger","1993-03-03","23","1","England Chelsea"
"Age","Germany","F","DF","Jérôme Boateng","1988-09-03","70","1","Germany Bayern Munich"
"Age","Germany","F","DF","Jonas Hector","1990-05-27","36","3","Germany 1. FC Köln"
"Age","Germany","F","DF","Joshua Kimmich","1995-02-08","27","3","Germany Bayern Munich"
"Age","Germany","F","DF","Marvin Plattenhardt","1992-01-26","6","0","Germany Hertha BSC"
"Age","Germany","F","DF","Mats Hummels","1988-12-16","63","5","Germany Bayern Munich"
"Age","Germany","F","DF","Matthias Ginter","1994-01-19","17","0","Germany Borussia Mönchengladbach"
"Age","Germany","F","DF","Niklas Süle","1995-09-03","9","0","Germany Bayern Munich"
"Age","Germany","F","FW","Mario Gómez","1985-07-10","73","31","Germany VfB Stuttgart"
"Age","Germany","F","FW","Thomas Müller","1989-09-13","90","38","Germany Bayern Munich"
"Age","Germany","F","FW","Timo Werner","1996-03-06","12","7","Germany RB Leipzig"
"Age","Germany","F","GK","Kevin Trapp","1990-07-08","3","0","France Paris Saint-Germain"
"Age","Germany","F","GK","Manuel Neuer (captain)","1986-03-27","74","0","Germany Bayern Munich"
"Age","Germany","F","GK","Marc-André ter Stegen","1992-04-30","19","0","Spain Barcelona"
"Age","Germany","F","MF","İlkay Gündoğan","1990-10-24","24","4","England Manchester City"
"Age","Germany","F","MF","Julian Brandt","1996-05-02","14","1","Germany Bayer Leverkusen"
"Age","Germany","F","MF","Julian Draxler","1993-09-20","42","6","France Paris Saint-Germain"
"Age","Germany","F","MF","Leon Goretzka","1995-02-06","14","6","Germany Schalke 04"
"Age","Germany","F","MF","Marco Reus","1989-05-31","29","9","Germany Borussia Dortmund"
"Age","Germany","F","MF","Mesut Özil","1988-10-15","89","22","England Arsenal"
"Age","Germany","F","MF","Sami Khedira","1987-04-04","73","7","Italy Juventus"
"Age","Germany","F","MF","Sebastian Rudy","1990-02-28","24","1","Germany Bayern Munich"
"Age","Germany","F","MF","Toni Kroos","1990-01-04","82","12","Spain Real Madrid"
"Age","Mexico","F","DF","Carlos Salcedo","1993-09-29","18","0","Germany Eintracht Frankfurt"
"Age","Mexico","F","DF","Diego Reyes","1992-09-19","55","1","Portugal Porto"
"Age","Mexico","F","DF","Edson Álvarez","1997-10-24","10","1","Mexico América"
"Age","Mexico","F","DF","Héctor Moreno","1988-01-17","91","3","Spain Real Sociedad"
"Age","Mexico","F","DF","Hugo Ayala","1987-03-31","40","1","Mexico UANL"
"Age","Mexico","F","DF","Jesús Gallardo","1994-08-14","20","0","Mexico UNAM"
"Age","Mexico","F","DF","Miguel Layún","1988-06-25","62","6","Spain Sevilla"
"Age","Mexico","F","FW","Carlos Vela","1989-03-01","67","18","United States Los Angeles FC"
"Age","Mexico","F","FW","Hirving Lozano","1995-07-30","26","7","Netherlands PSV Eindhoven"
"Age","Mexico","F","FW","Javier Aquino","1990-02-11","51","0","Mexico UANL"
"Age","Mexico","F","FW","Javier Hernández","1988-06-01","100","49","England West Ham United"
"Age","Mexico","F","FW","Jesús Manuel Corona","1993-01-06","33","7","Portugal Porto"
"Age","Mexico","F","FW","Oribe Peralta","1984-01-12","64","26","Mexico América"
"Age","Mexico","F","FW","Raúl Jiménez","1991-05-05","62","13","Portugal Benfica"
"Age","Mexico","F","GK","Alfredo Talavera","1982-09-18","27","0","Mexico Toluca"
"Age","Mexico","F","GK","Guillermo Ochoa","1985-07-13","92","0","Belgium Standard Liège"
"Age","Mexico","F","GK","José de Jesús Corona","1981-01-28","51","0","Mexico Cruz Azul"
"Age","Mexico","F","MF","Andrés Guardado (captain)","1986-09-28","144","25","Spain Real Betis"
"Age","Mexico","F","MF","Giovani dos Santos","1989-05-11","102","18","United States LA Galaxy"
"Age","Mexico","F","MF","Héctor Herrera","1990-04-19","63","5","Portugal Porto"
"Age","Mexico","F","MF","Jonathan dos Santos","1990-04-26","29","0","United States LA Galaxy"
"Age","Mexico","F","MF","Marco Fabián","1989-07-21","36","9","Germany Eintracht Frankfurt"
"Age","Mexico","F","MF","Rafael Márquez","1979-02-13","143","18","Mexico Atlas"
"Age","South Korea","F","DF","Go Yo-han","1988-03-10","18","0","South Korea FC Seoul"
"Age","South Korea","F","DF","Hong Chul","1990-09-17","13","0","South Korea Sangju Sangmu"
"Age","South Korea","F","DF","Jang Hyun-soo","1991-09-28","49","3","Japan FC Tokyo"
"Age","South Korea","F","DF","Jung Seung-hyun","1994-04-03","4","0","Japan Sagan Tosu"
"Age","South Korea","F","DF","Kim Min-woo","1990-02-25","16","1","South Korea Sangju Sangmu"
"Age","South Korea","F","DF","Kim Young-gwon","1990-02-27","50","2","China Guangzhou Evergrande"
"Age","South Korea","F","DF","Lee Yong","1986-12-24","24","0","South Korea Jeonbuk Hyundai Motors"
"Age","South Korea","F","DF","Oh Ban-suk","1988-05-20","0","0","South Korea Jeju United"
"Age","South Korea","F","DF","Park Joo-ho","1987-01-16","34","0","South Korea Ulsan Hyundai"
"Age","South Korea","F","DF","Yun Young-sun","1988-10-04","4","0","South Korea Seongnam FC"
"Age","South Korea","F","FW","Hwang Hee-chan","1996-01-26","11","2","Austria Red Bull Salzburg"
"Age","South Korea","F","FW","Kim Shin-wook","1988-04-14","46","10","South Korea Jeonbuk Hyundai Motors"
"Age","South Korea","F","FW","Son Heung-min","1992-07-08","63","20","England Tottenham Hotspur"
"Age","South Korea","F","GK","Cho Hyun-woo","1991-09-25","4","0","South Korea Daegu FC"
"Age","South Korea","F","GK","Kim Jin-hyeon","1987-07-06","14","0","Japan Cerezo Osaka"
"Age","South Korea","F","GK","Kim Seung-gyu","1990-09-30","31","0","Japan Vissel Kobe"
"Age","South Korea","F","MF","Ju Se-jong","1990-10-30","8","1","South Korea Asan Mugunghwa"
"Age","South Korea","F","MF","Jung Woo-young","1989-12-14","26","1","Japan Vissel Kobe"
"Age","South Korea","F","MF","Ki Sung-yueng (captain)","1989-01-24","99","10","Wales Swansea City"
"Age","South Korea","F","MF","Koo Ja-cheol","1989-02-27","65","19","Germany FC Augsburg"
"Age","South Korea","F","MF","Lee Jae-sung","1992-08-10","32","5","South Korea Jeonbuk Hyundai Motors"
"Age","South Korea","F","MF","Lee Seung-woo","1998-01-06","0","0","Italy Hellas Verona"
"Age","South Korea","F","MF","Moon Seon-min","1992-06-09","0","0","South Korea Incheon United"
"Age","Sweden","F","DF","Andreas Granqvist (captain)","1985-04-16","70","6","Russia Krasnodar"
"Age","Sweden","F","DF","Emil Krafth","1994-08-02","11","0","Italy Bologna"
"Age","Sweden","F","DF","Filip Helander","1993-04-22","4","0","Italy Bologna"
"Age","Sweden","F","DF","Ludwig Augustinsson","1994-04-21","14","0","Germany Werder Bremen"
"Age","Sweden","F","DF","Martin Olsson","1988-05-17","42","5","Wales Swansea City"
"Age","Sweden","F","DF","Mikael Lustig","1986-12-13","64","6","Scotland Celtic"
"Age","Sweden","F","DF","Pontus Jansson","1991-02-13","14","0","England Leeds United"
"Age","Sweden","F","DF","Victor Lindelöf","1994-07-17","19","1","England Manchester United"
"Age","Sweden","F","FW","Isaac Kiese Thelin","1992-06-24","18","2","Belgium Waasland-Beveren"
"Age","Sweden","F","FW","John Guidetti","1992-04-15","20","1","Spain Alavés"
"Age","Sweden","F","FW","Marcus Berg","1986-08-17","55","18","United Arab Emirates Al Ain"
"Age","Sweden","F","FW","Ola Toivonen","1986-07-03","57","13","France Toulouse"
"Age","Sweden","F","GK","Karl-Johan Johnsson","1990-01-28","5","0","France Guingamp"
"Age","Sweden","F","GK","Kristoffer Nordfeldt","1989-06-23","8","0","Wales Swansea City"
"Age","Sweden","F","GK","Robin Olsen","1990-01-08","16","0","Denmark Copenhagen"
"Age","Sweden","F","MF","Albin Ekdal","1989-07-28","32","0","Germany Hamburger SV"
"Age","Sweden","F","MF","Emil Forsberg","1991-10-23","34","6","Germany RB Leipzig"
"Age","Sweden","F","MF","Gustav Svensson","1987-02-07","11","0","United States Seattle Sounders FC"
"Age","Sweden","F","MF","Jimmy Durmaz","1989-03-22","44","3","France Toulouse"
"Age","Sweden","F","MF","Marcus Rohdén","1991-05-11","10","1","Italy Crotone"
"Age","Sweden","F","MF","Oscar Hiljemark","1992-06-28","20","2","Italy Genoa"
"Age","Sweden","F","MF","Sebastian Larsson","1985-06-06","98","6","England Hull City"
"Age","Sweden","F","MF","Viktor Claesson","1992-01-02","21","3","Russia Krasnodar"
"Age","Belgium","G","DF","Dedryck Boyata","1990-11-28","4","0","Scotland Celtic"
"Age","Belgium","G","DF","Jan Vertonghen","1987-04-24","99","8","England Tottenham Hotspur"
"Age","Belgium","G","DF","Thomas Meunier","1991-09-12","22","5","France Paris Saint-Germain"
"Age","Belgium","G","DF","Thomas Vermaelen","1985-11-14","64","1","Spain Barcelona"
"Age","Belgium","G","DF","Toby Alderweireld","1989-03-02","71","3","England Tottenham Hotspur"
"Age","Belgium","G","DF","Vincent Kompany","1986-04-10","73","4","England Manchester City"
"Age","Belgium","G","FW","Dries Mertens","1987-05-06","64","13","Italy Napoli"
"Age","Belgium","G","FW","Michy Batshuayi","1993-10-02","13","5","Germany Borussia Dortmund"
"Age","Belgium","G","FW","Romelu Lukaku","1993-05-13","63","30","England Manchester United"
"Age","Belgium","G","GK","Koen Casteels","1992-06-25","0","0","Germany VfL Wolfsburg"
"Age","Belgium","G","GK","Simon Mignolet","1988-03-06","21","0","England Liverpool"
"Age","Belgium","G","GK","Thibaut Courtois","1992-05-11","55","0","England Chelsea"
"Age","Belgium","G","MF","Adnan Januzaj","1995-02-05","6","0","Spain Real Sociedad"
"Age","Belgium","G","MF","Axel Witsel","1989-01-12","85","9","China Tianjin Quanjian"
"Age","Belgium","G","MF","Eden Hazard (captain)","1991-01-07","81","21","England Chelsea"
"Age","Belgium","G","MF","Kevin De Bruyne","1991-06-28","56","13","England Manchester City"
"Age","Belgium","G","MF","Leander Dendoncker","1995-04-15","4","0","Belgium Anderlecht"
"Age","Belgium","G","MF","Marouane Fellaini","1987-11-22","78","16","England Manchester United"
"Age","Belgium","G","MF","Mousa Dembélé","1987-07-16","73","5","England Tottenham Hotspur"
"Age","Belgium","G","MF","Nacer Chadli","1989-08-02","40","4","England West Bromwich Albion"
"Age","Belgium","G","MF","Thorgan Hazard","1993-03-29","7","1","Germany Borussia Mönchengladbach"
"Age","Belgium","G","MF","Yannick Carrasco","1993-09-04","22","5","China Dalian Yifang"
"Age","Belgium","G","MF","Youri Tielemans","1997-05-07","7","0","France Monaco"
"Age","England","G","DF","Ashley Young","1985-07-09","33","7","England Manchester United"
"Age","England","G","DF","Danny Rose","1990-07-02","16","0","England Tottenham Hotspur"
"Age","England","G","DF","Fabian Delph","1989-11-21","9","0","England Manchester City"
"Age","England","G","DF","Gary Cahill","1985-12-19","58","4","England Chelsea"
"Age","England","G","DF","Harry Maguire","1993-03-05","4","0","England Leicester City"
"Age","England","G","DF","John Stones","1994-05-28","24","0","England Manchester City"
"Age","England","G","DF","Kieran Trippier","1990-09-19","5","0","England Tottenham Hotspur"
"Age","England","G","DF","Kyle Walker","1990-05-28","34","0","England Manchester City"
"Age","England","G","DF","Phil Jones","1992-02-21","24","0","England Manchester United"
"Age","England","G","DF","Trent Alexander-Arnold","1998-10-07","0","0","England Liverpool"
"Age","England","G","FW","Danny Welbeck","1990-11-26","37","15","England Arsenal"
"Age","England","G","FW","Harry Kane (captain)","1993-07-28","24","13","England Tottenham Hotspur"
"Age","England","G","FW","Jamie Vardy","1987-01-11","21","7","England Leicester City"
"Age","England","G","FW","Marcus Rashford","1997-10-31","17","2","England Manchester United"
"Age","England","G","FW","Raheem Sterling","1994-12-08","37","2","England Manchester City"
"Age","England","G","GK","Jack Butland","1993-03-10","7","0","England Stoke City"
"Age","England","G","GK","Jordan Pickford","1994-03-07","2","0","England Everton"
"Age","England","G","GK","Nick Pope","1992-04-19","0","0","England Burnley"
"Age","England","G","MF","Dele Alli","1996-04-11","23","2","England Tottenham Hotspur"
"Age","England","G","MF","Eric Dier","1994-01-15","25","3","England Tottenham Hotspur"
"Age","England","G","MF","Jesse Lingard","1992-12-15","10","1","England Manchester United"
"Age","England","G","MF","Jordan Henderson","1990-06-17","38","0","England Liverpool"
"Age","England","G","MF","Ruben Loftus-Cheek","1996-01-23","2","0","England Crystal Palace"
"Age","Panama","G","DF","Adolfo Machado","1985-02-14","74","1","United States Houston Dynamo"
"Age","Panama","G","DF","Erick Davis","1991-03-31","37","0","Slovakia Dunajská Streda"
"Age","Panama","G","DF","Felipe Baloy (captain)","1981-02-24","101","3","Guatemala Municipal"
"Age","Panama","G","DF","Fidel Escobar","1995-01-09","21","1","United States New York Red Bulls"
"Age","Panama","G","DF","Harold Cummings","1992-03-01","51","0","United States San Jose Earthquakes"
"Age","Panama","G","DF","Luis Ovalle","1988-09-07","24","0","Honduras Olimpia"
"Age","Panama","G","DF","Michael Amir Murillo","1996-02-15","21","2","United States New York Red Bulls"
